seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,time,memory_used_MB,train_loss,train_jaccard,val_jaccard
4,moons,toys,implicit,13.86145041637861,57.08094209711856,58.17353479853479,58.10232267732268,0.8227863311767578,39.45560884475708,2819.875,"[13.861568689896584, 13.861458047942124, 13.861460862720529, 13.86145041637861, 13.861453803661218, 13.861455119245143, 13.86146237418603, 13.86145768269717, 13.86144394586601, 13.861436147015144, 13.861435384034026]","[55.86300611153552, 56.21114963467904, 57.24967336584983, 57.08094209711856, 56.75166304283951, 56.91751385869033, 56.66537237272531, 56.90733873969168, 56.775664041840514, 57.140840532017, 57.00051419169066]","[56.706408297584765, 56.92656950892244, 58.17169497169496, 58.17353479853479, 57.705203130203124, 57.905960705960695, 57.545687645687636, 57.81452713952714, 57.54289876789876, 57.7380100291865, 57.78738761238761]"
5,moons,toys,implicit,13.861459692818736,57.75768202385849,58.445254745254736,58.52824675324675,0.8116171360015869,37.57972979545593,2830.72265625,"[13.862289173744117, 13.861511254651699, 13.86146121988165, 13.861459692818736, 13.861453657098194, 13.861455348653339, 13.861467851836872, 13.861452450468402, 13.861449367627012, 13.861448388243298, 13.861454666721087]","[48.817099403864106, 56.557039039391974, 57.39885947385947, 57.75768202385849, 57.07359748095042, 56.88025748761042, 57.14790650525945, 57.35687253922547, 57.22024250259545, 57.02523750759044, 57.05253520988814]","[50.428078131019305, 57.217857142857135, 58.28355810855811, 58.445254745254736, 57.70541125541124, 57.47154512154512, 57.99671994671994, 57.922452547452544, 57.745596070596065, 57.78481518481518, 57.64716117216117]"
0,moons,toys,implicit,13.862929379805363,46.48457278016101,48.1853261117967,48.391567703022815,6.460520267486572,30.1534583568573,1781.7734375,"[13.862929379805365, 13.862908105325642, 13.862888052547232, 13.86286546906365, 13.862839140879274, 13.862808278157292, 13.862769457152869, 13.862726336058001]","[46.48457278016101, 46.0865604983252, 46.49242130418601, 46.48332843626961, 46.4891809171221, 46.37499510293628, 46.330306458247634, 46.36304871598989]","[48.1853261117967, 47.73853597383009, 48.02739792886852, 47.97679852826912, 47.9620133134839, 47.79393972041031, 47.73658677923384, 47.77298371563078]"
0,moons,toys,implicit,13.862781839031378,46.49855683532154,48.03186845833904,48.33534973798131,0.5736289024353027,34.254586935043335,1778.48046875,"[13.862914638326197, 13.862871387257686, 13.862828994129941, 13.862781839031378, 13.862726637915928, 13.862663672264425, 13.862582162393325, 13.86248576979655, 13.862366208706613, 13.862225007324328, 13.862058859690855]","[46.23479363773482, 46.08174472586237, 46.37456416132886, 46.49855683532154, 46.46574601868719, 46.366345419286596, 46.293176921118096, 46.31515494309612, 46.17188987483105, 46.18017325811443, 46.13964319993732]","[47.85250811280223, 47.716283226577346, 47.95500365647424, 48.03186845833904, 47.910448211918805, 47.846544631838746, 47.696286556580674, 47.72083586348292, 47.534446435917026, 47.588742956390014, 47.494786912433966]"
0,moons,toys,implicit,13.862499316781644,46.5683434212846,48.07770595417654,48.35248897129702,0.565349817276001,34.874072790145874,1782.92578125,"[13.862884862381282, 13.86279829916515, 13.862711082899018, 13.86261368233166, 13.862499316781644, 13.862364521107674, 13.86220271352823, 13.86199407694272, 13.861753282116789, 13.861454088312314, 13.86109247312692, 13.860649205523242]","[46.183382303970546, 46.298098959863665, 46.44590115766586, 46.51110262286733, 46.568343421284595, 46.37559450353568, 46.345191573132745, 46.28658351452469, 46.18406936201054, 46.21020988815106, 46.13964319993732, 46.02146970676382]","[47.83785609815021, 47.953747722865366, 48.061763563234145, 48.02285247432307, 48.07770595417654, 47.84448084595143, 47.7600144953086, 47.641131417602004, 47.5583059097765, 47.625006692653756, 47.50431072195778, 47.41584918349625]"
0,moons,toys,implicit,13.86211722323466,46.6245705275117,48.13952746599805,48.37570741951547,0.6230711936950684,34.16614079475403,1781.38671875,"[13.862797103473305, 13.862575090471696, 13.86235254156967, 13.862117223234659, 13.861834415086253, 13.86149054127614, 13.861067491914413, 13.860539668316681, 13.859931095344129, 13.859176587465345, 13.85832010341119]","[46.3620952576835, 46.23348857025328, 46.46055317231788, 46.6245705275117, 46.471373724314894, 46.42884125678243, 46.32467875261993, 46.20961881255999, 46.12253090047208, 46.10413899825664, 46.111671171965284]","[48.08144584173995, 47.85419531448944, 48.04190841837901, 48.13952746599805, 48.00747618394677, 47.85194837841897, 47.74940729205435, 47.529592956063546, 47.52383205030264, 47.49414588679295, 47.50366969631675]"
0,moons,toys,implicit,13.789512675061742,46.58037501713973,48.20365500512559,48.57295575941087,0.6416971683502197,33.76667618751526,1771.2578125,"[13.844455207600715, 13.816631882310853, 13.789512675061742, 13.758783907187297, 13.723682375270513, 13.680617512532397, 13.631294800802186, 13.568324331848128, 13.493474295724047, 13.401736519153765]","[46.39885849444673, 46.29544328220799, 46.58037501713973, 46.650746312511025, 46.58243961920432, 46.4749035278447, 46.533186911128084, 46.43983026777144, 46.48763246557364, 46.418360071301244]","[48.02854955502014, 47.91753393665159, 48.20365500512559, 48.19890142537201, 48.19871827518886, 47.94940925087984, 48.033983010453596, 47.9161758176464, 47.96670665935372, 47.910529503176555]"
0,moons,toys,implicit,13.656502281526553,46.65793911970383,48.26772426919486,48.54022182667693,0.7770571708679199,36.13172864913941,1781.0234375,"[13.825900887677216, 13.771241152366004, 13.718046879918601, 13.656502281526553, 13.58559130497544, 13.50488013524896, 13.401743062937712, 13.283216483851495, 13.148525205671863, 12.97799088683846, 12.781279627622917]","[46.24290611349435, 46.3686764216176, 46.644843881608594, 46.657939119703826, 46.6636584004231, 46.55855321149439, 46.59302707096825, 46.62416260210377, 46.544500597441775, 46.63227948522066, 46.6409791189203]","[47.908094193388315, 48.05853541882954, 48.205486506957094, 48.26772426919486, 48.26419446566506, 48.112138188608775, 48.11731634378693, 48.14383149530208, 48.116065633712694, 48.22966869731576, 48.25370299635006]"
0,moons,toys,implicit,13.587638539024422,46.95233638910109,48.64558888823594,48.85628158391315,0.7010583877563477,36.19751834869385,1778.8984375,"[13.813475708309902, 13.739669722266566, 13.667799621407912, 13.587638539024422, 13.493878696162803, 13.392018100341872, 13.260264396359341, 13.103230449918557, 12.910853209070915, 12.701657281617257, 12.451248807157976]","[46.312228457816694, 46.71712356271179, 46.90569136745608, 46.95233638910109, 46.863741650506356, 46.88522017198488, 46.84874635168753, 46.83656686450804, 46.891863528628235, 46.966172552937266, 46.99757644316468]","[47.985749871043986, 48.31676885206297, 48.55256720403779, 48.64558888823594, 48.44500532147591, 48.46859007006066, 48.43146053293112, 48.44626517273576, 48.501584853055434, 48.575344426815015, 48.635952446246556]"
0,moons,toys,implicit,13.654098846898297,46.78824215000685,48.45604428251487,48.62777593923104,0.8509807586669922,38.43466353416443,3086.8125,"[13.82571011198919, 13.769647159118785, 13.71472022217623, 13.654098846898295, 13.585782334806794, 13.50085117078273, 13.39814763138344, 13.28068212779809, 13.139338000747927, 12.970572916303059, 12.769915835454295]","[46.17602936279407, 46.41993545670016, 46.675746312511016, 46.78824215000685, 46.7570649938297, 46.66165843959962, 46.67086589880707, 46.62773403067521, 46.675452978394155, 46.605814283755464, 46.72259945936417]","[47.85127601157013, 47.98816134845546, 48.346836823307406, 48.45604428251487, 48.25975723622781, 48.183017309487894, 48.231052607523196, 48.18375823522882, 48.27090327972681, 48.21974806239512, 48.305137672784724]"
0,moons,toys,implicit,13.586416373073009,47.0403900021547,48.75831782596489,48.90563223326381,0.777275562286377,38.99259686470032,3083.42578125,"[13.813341298783511, 13.740337219949986, 13.66549722728621, 13.586416373073007, 13.495632650938436, 13.383806241200709, 13.251233793134622, 13.090652746572642, 12.901473872673996, 12.68345115425068, 12.43514604923765]","[46.18436269612741, 46.648781610546315, 46.893187204951914, 47.0403900021547, 46.88755117431588, 46.839432626197336, 46.87136539930657, 46.86037638831756, 46.79793050087168, 46.88555317231788, 46.97889512448336]","[47.85067661097073, 48.23480914510327, 48.559710061180645, 48.75831782596489, 48.5114472129178, 48.373859800330386, 48.44046900811607, 48.44427353692059, 48.429346796993855, 48.52332977480036, 48.57362751627458]"
0,moons,toys,implicit,6.480443732811171,56.908622749799214,58.48116883116882,57.82316017316017,1.4973375797271729,48.669352293014526,3070.49609375,"[9.440097980937319, 7.042077771778119, 6.746675435250485, 6.451863217711942, 6.480443732811171, 6.87699405278896, 6.884581803459412, 6.830200050520567, 6.943940152957114, 6.7457962011135555, 6.678717638267166, 6.4789854347882105]","[55.57946661181955, 53.46434643787585, 56.517555483731954, 57.18198468198467, 56.908622749799214, 55.606183522359984, 56.19969001586648, 55.274013731366665, 55.781955789308725, 56.162743628920104, 56.759979726156196, 56.753161544338006]","[57.05231239348886, 54.68898209633503, 57.583089949266416, 57.50210622710622, 58.48116883116882, 57.47720220955515, 58.21405898023545, 57.0755994005994, 57.67937895437895, 57.698358014534485, 58.44980656598303, 57.96469168086814]"
0,moons,toys,implicit,13.861552491998564,57.29926544044191,58.21249583749583,58.165534465534456,6.763986349105835,33.61391830444336,3099.39453125,"[13.861552491998564, 13.86146003243016, 13.861463355093576, 13.861451692148284, 13.861447446218044, 13.86144723485894, 13.861451960736815, 13.861450208364436]","[57.29926544044191, 55.20261258349493, 56.97704599322246, 57.342380658557126, 56.48716724452018, 57.08515455133102, 56.60549254666901, 56.71705598323245]","[58.21249583749583, 55.84974633209927, 57.60934065934065, 57.91813186813186, 57.112928737928726, 57.735922410922406, 57.330919080919074, 57.58464035964035]"
