seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,time,memory_used_MB,train_loss,train_jaccard,val_jaccard
1,celeba,toys,implicit,3.449097847399824,63.07266666666666,52.94333333333333,50.68666666666667,43.80458116531372,2541.858834028244,3339.74609375,"[3.456784500357548, 3.454813922646051, 3.453866684836327, 3.4536703989591073, 3.452890817127749, 3.4522576204417637, 3.4518996245305558, 3.4515582286794886, 3.4514582198705748, 3.4511159176587722, 3.4508226347793856, 3.450583626645, 3.4504708751696627, 3.450241783213489, 3.4503868192726355, 3.4501592523916447, 3.4496230104485877, 3.4496493207776995, 3.4492992200743737, 3.4490978473998237, 3.4489693089857245, 3.448893404483228, 3.4485723961987227, 3.448346598653675, 3.448313412787944, 3.448108875094505, 3.4479673064354754]","[39.489333333333335, 41.20133333333333, 35.282000000000004, 46.202333333333335, 48.02933333333333, 50.407666666666664, 53.317, 49.40633333333333, 53.895, 55.879666666666665, 56.87166666666666, 57.417, 58.47866666666667, 57.439, 51.69166666666666, 60.1, 58.599666666666664, 61.550000000000004, 62.259, 63.07266666666666, 63.86266666666667, 63.78366666666667, 64.923, 66.02566666666667, 66.04133333333333, 66.60666666666665, 67.07733333333333]","[38.300000000000004, 39.57333333333333, 33.356666666666655, 44.35666666666667, 46.08333333333333, 47.17, 49.44, 45.68333333333334, 49.56666666666666, 50.28, 50.85666666666666, 51.36, 50.916666666666664, 50.86333333333334, 44.70666666666667, 51.74333333333333, 50.89333333333333, 52.276666666666664, 52.29666666666667, 52.94333333333333, 52.51333333333333, 51.47, 51.71, 52.35333333333333, 51.65, 51.9, 51.64666666666667]"
2,celeba,toys,implicit,3.4512274900934767,56.130333333333326,52.53333333333333,50.77666666666667,44.498329639434814,1522.9204297065735,3339.8359375,"[3.456610761172052, 3.4547296104095233, 3.453910845802827, 3.453587088040191, 3.4525074126791293, 3.4519326210783836, 3.451858076759863, 3.4514119496412, 3.4512274900934767, 3.4508804037816443, 3.450669270760735, 3.450555540385423, 3.4503110579675997, 3.4501129052034605, 3.4500920480744273, 3.4500545331842285]","[38.31766666666667, 44.43599999999999, 35.660333333333334, 46.117666666666665, 51.656666666666666, 46.64733333333333, 51.541666666666664, 51.90233333333333, 56.130333333333326, 56.1, 55.852000000000004, 56.80633333333333, 57.21733333333333, 55.011, 51.50933333333333, 61.06766666666665]","[38.133333333333326, 42.83666666666667, 35.74333333333333, 44.94333333333333, 49.96333333333333, 45.83333333333333, 49.47666666666667, 49.07, 52.53333333333333, 52.366666666666674, 51.52666666666667, 51.72, 52.333333333333336, 48.44333333333333, 45.18333333333333, 52.04]"
3,celeba,toys,implicit,3.450037667051079,59.47233333333333,51.43,50.59333333333333,44.1584529876709,1988.2787926197047,3335.63671875,"[3.4570510109146007, 3.4550643713284, 3.4539586496450756, 3.4531882796222804, 3.4526088633067524, 3.452107656164043, 3.4517553204673534, 3.4518117874292438, 3.4513294316957377, 3.450964019457613, 3.4508056961337132, 3.4504464214569484, 3.4505200424467626, 3.450037667051079, 3.4499636775750395, 3.4498829774250903, 3.4494634636772434, 3.4493534829127332, 3.4491493436821417, 3.4490013416111065, 3.4487501364833717]","[39.22566666666666, 41.629999999999995, 42.17, 47.449666666666666, 50.211666666666666, 51.714999999999996, 46.63366666666666, 52.575, 55.203333333333326, 56.440000000000005, 57.62533333333333, 55.331333333333326, 58.493333333333325, 59.47233333333333, 57.05566666666667, 61.086666666666666, 59.95833333333333, 62.566, 62.605000000000004, 64.11833333333333, 64.57733333333333]","[37.81666666666666, 40.27, 42.38333333333333, 45.68333333333333, 47.01, 48.35333333333334, 44.126666666666665, 48.25, 50.376666666666665, 50.67333333333334, 50.51, 49.15, 51.2, 51.43, 48.953333333333326, 51.413333333333334, 50.300000000000004, 51.15, 50.11, 50.370000000000005, 50.796666666666674]"
4,celeba,toys,implicit,3.4486669254866,65.51,52.43333333333333,50.85666666666666,44.07405400276184,2631.399937391281,3336.75390625,"[3.456530281713356, 3.454544221748514, 3.4536100734353172, 3.453590571443375, 3.4526035713625003, 3.4520260010792194, 3.4516352882083794, 3.451324411477854, 3.451054541918348, 3.450924846141838, 3.4504992749981622, 3.450286071936435, 3.450171917513414, 3.4499316199461365, 3.4498382171278204, 3.4498632214930183, 3.4492514961849534, 3.449310529040964, 3.449012215118901, 3.44877107373599, 3.4486669254866, 3.4483721587669804, 3.4481398820750693, 3.4479159904217216, 3.4477906913916536, 3.4475943153289315, 3.447378027255439, 3.447192723571471]","[40.383, 43.443333333333335, 39.36533333333333, 46.285666666666664, 49.348, 52.93666666666667, 52.49666666666666, 54.301333333333325, 55.083000000000006, 56.242666666666665, 58.037000000000006, 58.40933333333333, 57.688333333333325, 58.398666666666664, 57.532000000000004, 60.77233333333333, 62.148333333333326, 62.746333333333325, 62.643, 64.60466666666666, 65.51, 65.74733333333333, 67.31533333333333, 67.80333333333333, 68.10300000000001, 69.75466666666667, 69.15066666666667, 72.08233333333332]","[38.99333333333333, 42.87, 38.58333333333333, 44.86333333333333, 46.45666666666667, 49.54, 48.31, 50.09333333333333, 51.56333333333334, 50.096666666666664, 52.06666666666666, 51.68333333333333, 49.81333333333334, 50.18, 49.36666666666667, 52.42, 51.31333333333333, 51.916666666666664, 51.71, 51.85666666666666, 52.43333333333333, 50.88333333333333, 50.00333333333333, 50.95666666666666, 49.86, 49.95, 49.92666666666667, 49.70666666666667]"
5,celeba,toys,implicit,3.449504503281276,62.49766666666667,53.596666666666664,52.57,43.95429515838623,2349.570950269699,3335.61328125,"[3.4565500718080937, 3.4547165512713542, 3.453439278077645, 3.453308663487506, 3.4524376763625084, 3.4520535237222183, 3.4523723899972407, 3.4516767156364887, 3.451321853053709, 3.450873981330742, 3.4506208863657974, 3.450491021901647, 3.450393028712974, 3.4500620526520844, 3.4498616907883393, 3.4499100286563893, 3.4494579820607267, 3.449504503281276, 3.449177529248473, 3.4489364483996203, 3.4489333301554255, 3.4487421983359057, 3.4485173052393843, 3.448388697655784, 3.4482546343550213]","[39.425999999999995, 43.693000000000005, 35.172666666666665, 47.43433333333333, 47.983999999999995, 39.030333333333324, 46.324999999999996, 50.464666666666666, 55.71933333333333, 56.832, 57.872, 56.590666666666664, 58.41866666666665, 58.61066666666665, 54.074000000000005, 60.83866666666667, 55.779666666666664, 62.49766666666667, 62.821666666666665, 62.51633333333333, 64.59266666666666, 65.39399999999999, 65.81533333333333, 66.45433333333332, 67.28133333333332]","[38.59333333333333, 42.230000000000004, 35.00666666666667, 45.12333333333333, 45.01666666666667, 37.18333333333333, 44.1, 46.95, 52.16666666666667, 51.83333333333334, 52.59333333333333, 51.01666666666667, 52.03333333333334, 51.480000000000004, 47.61666666666667, 53.04, 48.55666666666667, 53.596666666666664, 52.00333333333333, 51.366666666666674, 52.60666666666667, 52.26, 51.583333333333336, 51.06666666666667, 51.660000000000004]"
