seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,train_loss,train_jaccard,val_jaccard,time,memory_used_MB,K
50971,moons,toys,diffMF,12.02515697479248,46.52414321899414,48.05085062980652,48.04971516132355,0 days 00:00:01.332005,"[12.02515697479248, 11.016517877578735, 10.55121123790741, 10.28428441286087, 10.131109714508057, 10.122272849082947, 10.39456047330584, 10.64418126642704]","[46.52414321899414, 46.476808190345764, 44.10057067871094, 40.94529151916504, 37.710464000701904, 30.618122220039368, 20.744678378105164, 27.396675944328308]","[48.05085062980652, 47.416552901268005, 44.336989521980286, 41.427433490753174, 37.96941041946411, 30.774426460266113, 19.5767804980278, 26.24661922454834]",24.74052596092224,529.671875,
50971,moons,toys,diffMF,7.99279112475259,57.28522539138794,58.83137583732605,58.595818281173706,0 days 00:00:01.134950,"[12.024663805961609, 10.907285809516907, 10.026261905829111, 9.378720819950104, 8.831470668315887, 8.382228453954061, 7.99279112475259, 7.673508383333683, 7.40713013543023, 7.191050213575363, 7.009427298199046, 6.855980157852173, 6.726156399800227, 6.618298351764679]","[46.50740623474121, 48.49770665168762, 50.70028901100159, 53.732508420944214, 56.116873025894165, 57.45754837989807, 57.28522539138794, 57.41211175918579, 57.17041492462158, 57.249051332473755, 57.20471739768982, 57.31605291366577, 57.40266442298889, 57.36669898033142]","[48.09096157550812, 49.899014830589294, 52.172720432281494, 55.26670217514038, 57.85920023918152, 58.77911448478699, 58.83137583732605, 58.45152735710144, 58.28275680541992, 58.57059359550476, 58.2097589969635, 58.29886794090271, 58.20394158363342, 58.21754336357117]",37.33213019371033,528.52734375,
50971,moons,toys,diffMF,8.385799209276835,57.39962458610535,58.8507354259491,58.44923853874207,0 days 00:00:03.091614,"[12.028220534324646, 10.924905359745026, 10.043855985005697, 9.384976103901863, 8.835668969154359, 8.385799209276835, 7.9941816329956055, 7.6738357320427895, 7.415505164199406, 7.19648288488388, 7.019326784394004, 6.866436233123143, 6.739958607233488]","[46.50038480758667, 48.360031843185425, 50.46207904815674, 53.644388914108276, 56.63050413131714, 57.39962458610535, 57.309913635253906, 57.16223120689392, 57.25169777870178, 57.32274055480957, 57.249635457992554, 57.330626249313354, 57.34738111495972]","[48.12549650669098, 49.81483221054077, 51.90601944923401, 55.23486137390137, 57.972508668899536, 58.8507354259491, 58.79724621772766, 58.464211225509644, 58.24134945869446, 58.21576118469238, 58.16870331764221, 57.95677900314331, 58.1279456615448]",85.60741376876831,536.54296875,
50971,moons,toys,copula,11.0719336271286,47.55068123340607,48.22112023830414,48.352426290512085,0 days 00:00:00.615994,"[12.04621434211731, 11.071933627128601, 10.536996682484945, 10.230206906795502, 10.057819890975953, 10.045355637868246, 10.34951649393354, 10.624648854136467, 10.667601333724129]","[46.3977575302124, 47.55068123340607, 43.15863251686096, 40.70785641670227, 39.97944891452789, 30.518972873687744, 22.280023992061615, 30.04450798034668, 36.98853850364685]","[47.74982035160065, 48.22112023830414, 44.09346282482147, 41.684430837631226, 39.55359160900116, 29.818373918533325, 21.73413783311844, 29.161161184310913, 36.450713872909546]",16.27850604057312,593.80859375,
50971,moons,toys,copula,8.239227096239725,57.71678686141968,59.01368260383606,58.61089825630188,0 days 00:00:00.368364,"[11.974950551986694, 10.816191256046295, 9.933397849400839, 9.261159718036652, 8.707052874565125, 8.239227096239725, 7.8561922907829285, 7.550716429948807, 7.313531557718913, 7.101475429534912, 6.935791963880712, 6.798865656057994, 6.6711865571828985]","[46.39359414577484, 48.39180409908295, 50.69376826286316, 53.82651686668396, 56.57784938812256, 57.71678686141968, 57.36210346221924, 57.300883531570435, 57.2664737701416, 57.446128129959106, 57.34438896179199, 57.35807418823242, 57.311999797821045]","[47.790759801864624, 49.660807847976685, 52.122509479522705, 55.227357149124146, 58.12445282936096, 59.01368260383606, 58.74066948890686, 58.33964943885803, 58.4100604057312, 58.37219953536987, 58.404165506362915, 58.333975076675415, 58.23386311531067]",16.145009994506836,594.7578125,
50971,moons,toys,copula,8.010087311267853,57.27817416191101,58.815574645996094,58.66079330444336,0 days 00:00:00.786329,"[12.027230381965637, 10.904930174350739, 10.031560440858206, 9.38446855545044, 8.857307934761048, 8.396816780169805, 8.010087311267853, 7.69858618080616, 7.43533515267902, 7.217217761278152, 7.034078841859644, 6.88426174223423, 6.756613071148212, 6.642025343009403]","[46.14785611629486, 48.38437736034393, 50.41952133178711, 53.319984674453735, 56.186020374298096, 57.36814737319946, 57.27817416191101, 57.19503164291382, 57.262492179870605, 57.22951889038086, 57.39961862564087, 57.29255676269531, 57.34637379646301, 57.367104291915894]","[48.01681041717529, 49.84664022922516, 52.16094255447388, 55.078595876693726, 57.79944062232971, 58.79247784614563, 58.815574645996094, 58.454322814941406, 58.41894745826721, 58.271390199661255, 58.17175507545471, 58.121681213378906, 58.14843773841858, 58.00626277923584]",28.556637287139893,597.33203125,
50971,moons,toys,copula,12.027644991874697,46.50388956069946,48.07397723197937,48.26274812221527,0 days 00:00:01.097992,"[12.027644991874695, 11.034773051738739, 10.599837501843771, 10.48373994231224, 10.35381908416748, 10.33998191356659, 10.57442740031651, 10.831448286771774]","[46.50388956069946, 46.555888652801514, 39.095497131347656, 36.66454553604126, 39.53533172607422, 27.188971638679504, 18.915674090385437, 25.450599193572998]","[48.07397723197937, 47.51056730747223, 39.985278248786926, 37.58906424045563, 39.33480978012085, 25.804686546325684, 18.23727786540985, 24.936765432357788]",21.9558048248291,596.43359375,
1,moons,toys,diffMF,8.312198291222254,57.70778059959412,58.84485840797424,58.61627459526062,0 days 00:00:00.300255,"[11.98416805267334, 10.794312536716461, 9.934190531571707, 9.286801874637604, 8.758006417751313, 8.312198291222254, 7.9492766090801785, 7.638325899839401, 7.379713349872166, 7.171995234489441, 7.0004078203981575, 6.855532651146253, 6.725954454678756]","[44.3881630897522, 46.63074612617493, 49.746131896972656, 53.321635723114014, 56.2782347202301, 57.707780599594116, 57.380545139312744, 57.48863220214844, 57.21025466918945, 57.23738074302673, 57.17321038246155, 57.231199741363525, 57.34073519706726]","[45.87900936603546, 48.16089868545532, 51.16466283798218, 54.88625764846802, 57.91539549827576, 58.84485840797424, 58.68421792984009, 58.49961042404175, 58.41502547264099, 58.268409967422485, 58.272743225097656, 58.21797251701355, 58.240145444869995]",15.24270725250244,528.796875,1.0
2,moons,toys,diffMF,8.289062271515528,57.48618245124817,58.98516178131104,58.64169001579285,0 days 00:00:00.295971,"[12.00757920742035, 10.82787549495697, 9.955942928791046, 9.284761473536491, 8.741425919532777, 8.289062271515528, 7.91371864931924, 7.6007257625460625, 7.3408560620413885, 7.1393207013607025, 6.96238004619425, 6.809554606676102, 6.686185149046091]","[46.08171582221985, 47.761884331703186, 50.716668367385864, 53.87550592422485, 56.434035301208496, 57.48618245124817, 57.214516401290894, 57.276248931884766, 57.25722312927246, 57.267892360687256, 57.20503330230713, 57.23709464073181, 57.230764627456665]","[47.290584444999695, 49.080660939216614, 52.10288763046265, 55.50220608711243, 58.28881859779358, 58.985161781311035, 58.64571928977966, 58.34071636199951, 58.410805463790894, 58.4755003452301, 58.079445362091064, 58.221155405044556, 58.31785202026367]",14.235010862350464,527.984375,1.0
3,moons,toys,diffMF,8.12534706791242,57.521241903305054,58.87964367866516,58.54527950286865,0 days 00:00:00.290220,"[12.181813716888428, 10.906589210033417, 9.944122552871704, 9.192523062229156, 8.596415960788727, 8.12534706791242, 7.739127440111978, 7.437085695564747, 7.195931924713983, 7.000347268581391, 6.830631212754683, 6.690259625514348, 6.577918575360225]","[51.17565393447876, 51.55773162841797, 53.51548194885254, 55.866456031799316, 57.40157961845398, 57.521241903305054, 57.1364164352417, 57.24807381629944, 57.24271535873413, 57.19349980354309, 57.223767042160034, 57.130926847457886, 57.197290658950806]","[52.480584383010864, 53.1724750995636, 55.0314724445343, 57.54548907279968, 58.81441831588745, 58.87964367866516, 58.520275354385376, 58.31061005592346, 58.28220844268799, 58.30485820770264, 58.09088349342346, 58.15947651863098, 58.06534290313721]",14.420514106750488,529.22265625,1.0
4,moons,toys,diffMF,8.28796645005544,57.55965709686279,58.95950794219971,58.471256494522095,0 days 00:00:00.294630,"[12.230786442756653, 10.935570418834686, 10.005111992359161, 9.315107554197311, 8.753603315353393, 8.28796645005544, 7.911277396338327, 7.604140907526016, 7.35553871260749, 7.148672848939896, 6.9734004519202495, 6.825648317734401, 6.694810312527877]","[46.37841880321503, 48.16508889198303, 50.64338445663452, 53.713637590408325, 56.422704458236694, 57.55965709686279, 57.60475397109985, 57.29769468307495, 57.10538625717163, 57.35509395599365, 57.313746213912964, 57.32569098472595, 57.31445550918579]","[47.96682298183441, 49.54413175582886, 51.942574977874756, 55.31992316246033, 57.78459906578064, 58.95950794219971, 58.66682529449463, 58.406734466552734, 58.34640860557556, 58.328479528427124, 58.32427144050598, 58.41139554977417, 58.161818981170654]",14.272793054580688,527.7421875,1.0
5,moons,toys,diffMF,7.798299809296926,57.383012771606445,58.76734256744385,58.63778591156006,0 days 00:00:00.303690,"[11.553542852401733, 10.2403484582901, 9.351598302523294, 8.714450314640999, 8.203755402565003, 7.798299809296926, 7.475564769336155, 7.218515366315842, 7.013348148928748, 6.832932513952255, 6.689004995606163, 6.570029060045878, 6.462321088864253]","[47.549378871917725, 49.83358085155487, 52.41467356681824, 55.15931844711304, 57.32807517051697, 57.383012771606445, 57.33961462974548, 57.25259184837341, 57.15532302856445, 57.46989846229553, 57.25197792053223, 57.16671347618103, 57.11236596107483]","[48.99990260601044, 51.146066188812256, 54.08844351768494, 56.797635555267334, 58.60826373100281, 58.76734256744385, 58.483195304870605, 58.44604969024658, 58.30157995223999, 58.393263816833496, 58.329153060913086, 58.15334916114807, 58.222317695617676]",15.230162382125854,525.6015625,1.0
1,moons,toys,diffMF,11.14266324043274,44.69543397426605,45.8272248506546,46.21185660362244,0 days 00:00:00.468957,"[12.143085837364197, 11.14266324043274, 10.549954096476236, 10.223237425088882, 9.980040884017944, 9.807274838288626, 10.058325188500541, 10.380669370293617, 10.491709841622246]","[43.76470446586609, 44.69543397426605, 42.97620356082916, 41.99613630771637, 44.735658168792725, 35.66581904888153, 24.544954299926758, 27.81471610069275, 33.30312669277191]","[45.0608104467392, 45.8272248506546, 43.73171329498291, 41.641488671302795, 44.8356956243515, 35.53000092506409, 23.439128696918488, 27.15660035610199, 32.3398619890213]",13.372443914413452,528.4609375,2.0
2,moons,toys,diffMF,11.122408151626589,47.80987799167633,48.67306053638458,48.94885420799256,0 days 00:00:00.467872,"[12.111756205558777, 11.122408151626587, 10.4780300060908, 10.155788660049438, 10.050655245780945, 10.033683776855469, 10.312813247953143, 10.607236862182617, 10.682165053155687]","[46.25122249126434, 47.80987799167633, 45.66422700881958, 39.13951814174652, 37.36792504787445, 31.62614405155182, 21.849848330020905, 28.682586550712585, 33.1275999546051]","[47.464850544929504, 48.67306053638458, 45.71397304534912, 39.29773271083832, 37.10591495037079, 31.537148356437683, 20.99546492099762, 27.769026160240173, 32.902592420578]",13.8737530708313,528.58984375,2.0
3,moons,toys,diffMF,11.089884221553802,50.45772194862366,51.83886885643005,51.71172022819519,0 days 00:00:00.488662,"[12.24906837940216, 11.089884221553802, 10.312808950742086, 9.938847422599792, 9.942315363883973, 10.151625494162241, 10.688615986279078, 10.834004551172256, 10.776372909545898]","[49.94431734085083, 50.45772194862366, 48.44723641872406, 39.370059967041016, 32.108160853385925, 24.198275804519653, 21.828602254390717, 36.879152059555054, 35.08801460266113]","[51.614898443222046, 51.838868856430054, 49.06949996948242, 39.719220995903015, 31.798723340034485, 23.27968180179596, 20.56191712617874, 36.49016320705414, 34.891682863235474]",15.396791458129885,526.61328125,2.0
4,moons,toys,diffMF,11.239913165569304,46.71450555324554,47.88559675216675,48.07175397872925,0 days 00:00:00.483994,"[12.360015153884888, 11.239913165569305, 10.550283392270407, 10.237093091011047, 10.058481550216674, 9.939405798912048, 10.251980372837611, 10.44059319794178, 10.54622405105167]","[45.54838538169861, 46.714505553245544, 43.10179054737091, 38.5906457901001, 41.781213879585266, 33.611273765563965, 23.042571544647217, 32.61174559593201, 29.59391474723816]","[46.87168896198273, 47.88559675216675, 43.59632134437561, 39.30293023586273, 41.95232391357422, 33.20227861404419, 22.138284146785736, 31.382092833518982, 28.83078157901764]",14.193726062774658,528.453125,2.0
5,moons,toys,diffMF,11.677742719650269,46.969154477119446,48.1853574514389,48.55671226978302,0 days 00:00:00.475816,"[11.677742719650269, 10.688332498073578, 10.344464778900146, 10.288636773824692, 10.179300045967102, 10.282528340816498, 10.533041272844587, 10.742667987942696]","[46.969154477119446, 44.760578870773315, 35.62585711479187, 38.45444321632385, 36.963966488838196, 27.197375893592834, 25.83930194377899, 35.21319627761841]","[48.185357451438904, 45.65700888633728, 36.08090579509735, 37.58910894393921, 37.6926988363266, 25.722363591194153, 24.533921480178833, 34.33785438537598]",13.853904724121094,527.59765625,2.0
1,moons,toys,diffMF,8.19526640857969,57.40456581115723,58.68058800697327,58.57498049736023,0 days 00:00:00.650990,"[12.10991621017456, 11.006808280944824, 10.163427730401358, 9.533845409750938, 9.01220897436142, 8.57023792465528, 8.19526640857969, 7.867567241191864, 7.591250167952643, 7.35911995768547, 7.164870132099498, 7.001864959796269, 6.863554587730994, 6.745187410286495]","[44.029274582862854, 46.321263909339905, 48.52564334869385, 51.830750703811646, 55.023324489593506, 56.84410333633423, 57.40456581115723, 57.229191064834595, 57.252734899520874, 57.143789529800415, 57.264453172683716, 57.30568170547485, 57.15293884277344, 57.22765922546387]","[45.33199071884155, 47.486305236816406, 50.23332238197327, 53.26811671257019, 56.593334674835205, 58.561599254608154, 58.68058800697327, 58.37886333465576, 58.474332094192505, 58.282190561294556, 58.15554857254028, 58.1087589263916, 58.094894886016846, 58.20701718330383]",25.826748609542847,529.56640625,3.0
2,moons,toys,diffMF,8.11008186851229,57.495975494384766,58.73979330062866,58.64971876144409,0 days 00:00:00.660651,"[12.07724928855896, 10.942984998226166, 10.093712151050568, 9.440695613622665, 8.906013476848603, 8.479443490505219, 8.11008186851229, 7.793870635330677, 7.519034498267704, 7.2981824457645414, 7.103234182704579, 6.9404608855644865, 6.810820208146022, 6.697293336902346]","[46.17607295513153, 48.05241525173187, 50.165921449661255, 53.21330428123474, 55.66545128822327, 57.53180384635925, 57.495975494384766, 57.36129283905029, 57.36876130104065, 57.387953996658325, 57.33758807182312, 57.243555784225464, 57.14309215545654, 57.235413789749146]","[47.52929210662842, 49.25328493118286, 51.51163339614868, 54.90598678588867, 57.40606188774109, 58.602845668792725, 58.73979330062866, 58.608752489089966, 58.463793992996216, 58.33351016044617, 58.161598443984985, 58.09484124183655, 58.036696910858154, 58.07979106903076]",26.00005865097046,526.9765625,3.0
3,moons,toys,diffMF,8.32382102807363,57.34295845031738,58.78555178642273,58.64100456237793,0 days 00:00:00.745474,"[12.231760740280151, 11.015581905841827, 10.087174236774445, 9.36774018406868, 8.791887414455413, 8.32382102807363, 7.924640825816563, 7.604720547795296, 7.346083356274499, 7.134691685438156, 6.952055611393669, 6.800838952263196, 6.6788808795122]","[49.70257580280304, 51.653432846069336, 53.31658124923706, 55.60523271560669, 57.03111290931702, 57.34295845031738, 57.26662874221802, 57.25153088569641, 57.256901264190674, 57.30904936790466, 57.227832078933716, 57.22513794898987, 57.29110240936279]","[51.338279247283936, 53.142249584198, 54.976069927215576, 57.013559341430664, 58.63586664199829, 58.78555178642273, 58.62959027290344, 58.33157300949097, 58.22446346282959, 58.175915479660034, 58.099305629730225, 58.1112265586853, 58.27249884605408]",24.54643726348877,528.91796875,3.0
4,moons,toys,diffMF,8.114204628126961,57.67152905464173,58.7283730506897,58.58305096626282,0 days 00:00:00.730192,"[12.336039185523987, 11.116393089294434, 10.199709157148996, 9.51058605313301, 8.955540955066681, 8.499389698108038, 8.114204628126961, 7.80025739222765, 7.527793043189579, 7.296279895305633, 7.097164679657329, 6.943471923470497, 6.806128804500286, 6.6955282006944925]","[45.845967531204224, 47.96847105026245, 50.22501349449158, 53.16457748413086, 56.038135290145874, 57.187795639038086, 57.671529054641724, 57.519638538360596, 57.19231963157654, 57.307153940200806, 57.4785053730011, 57.45924711227417, 57.263052463531494, 57.34102129936218]","[46.97823226451874, 49.24880862236023, 51.534074544906616, 54.81681227684021, 57.43717551231384, 58.63386392593384, 58.7283730506897, 58.49795937538147, 58.29051733016968, 58.368027210235596, 58.32081437110901, 58.26619863510132, 58.248668909072876, 58.007633686065674]",26.15997695922852,528.609375,3.0
