seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,train_loss,train_jaccard,val_jaccard,time,memory_used_MB,K
1,gaussian,toys,diffMF,11.239871501922607,89.5554780960083,90.13426899909972,90.84032773971558,0 days 00:00:00.486770,"[12.483649849891663, 11.239871501922607, 10.152517338593801, 9.186559945344925, 8.390346848964692, 8.174205521742502, 9.020395261900765, 9.525764241814613, 9.572318871816]","[89.50700163841248, 89.5554780960083, 89.7531509399414, 89.2773985862732, 84.83365774154663, 43.86427104473114, 27.911660075187683, 45.57350277900696, 55.557554960250854]","[89.68344926834106, 90.13426899909973, 90.07669687271118, 89.89114165306091, 85.3201687335968, 43.689969182014465, 26.56361758708954, 45.80259621143341, 55.259060859680176]",21.40353488922119,528.6640625,2.0
2,gaussian,toys,diffMF,12.06386649608612,89.94032144546509,90.4676079750061,91.03659987449646,0 days 00:00:00.628455,"[12.06386649608612, 10.880073845386505, 9.823826134204865, 8.872063264250755, 8.182548415660857, 8.46794785062472, 9.46087315252849, 9.794471733272076]","[89.94032144546509, 89.92587924003601, 89.7531509399414, 89.42890763282776, 73.58437776565552, 28.014495968818665, 34.252968430519104, 50.01598596572876]","[90.4676079750061, 90.34569263458252, 90.27599096298218, 89.74984884262085, 74.25328493118286, 27.1290123462677, 33.40825438499451, 49.358975887298584]",21.171968460083008,528.37890625,2.0
3,gaussian,toys,diffMF,10.135048667589825,89.93729948997498,90.24872183799744,90.70163369178772,0 days 00:00:00.486179,"[12.648210406303406, 11.289034307003021, 10.135048667589823, 9.156042709946632, 8.481379199028016, 8.752477864424387, 9.641616037913732, 10.011183649301529, 10.1473837296168, 10.27714010477066]","[88.90699744224548, 89.83729481697083, 89.93729948997498, 89.24195766448975, 70.16650438308716, 29.70402240753174, 35.2715939283371, 48.507001996040344, 48.70104491710663, 43.91442537307739]","[89.52491283416748, 90.20862579345703, 90.24872183799744, 89.69857692718506, 71.35549783706665, 29.298409819602966, 36.98053956031799, 50.084733963012695, 49.963900446891785, 44.96487081050873]",22.90807580947876,527.80078125,2.0
4,gaussian,toys,diffMF,10.494243880112966,89.7282063961029,90.37599563598631,90.94708561897278,0 days 00:00:00.480813,"[12.81603491306305, 11.572369039058685, 10.494243880112966, 9.516790315508842, 8.691630160808563, 8.37084436416626, 9.18030617918287, 9.780604526400566, 9.98469348748525, 10.084081947803497]","[89.62284922599792, 89.69324231147766, 89.7282063961029, 89.79860544204712, 86.03150248527527, 45.85185647010803, 27.18695104122162, 45.40642201900482, 51.09829902648926, 48.34456741809845]","[89.86830115318298, 90.27668833732605, 90.37599563598633, 90.12145400047302, 86.58944368362427, 45.266059041023254, 26.152390241622925, 44.07896101474762, 49.789223074913025, 46.458351612091064]",22.507210969924927,528.0625,2.0
5,gaussian,toys,diffMF,11.831024050712584,90.12891054153442,90.45244455337524,90.88415503501892,0 days 00:00:00.464501,"[11.831024050712585, 10.588138282299042, 9.526239315668741, 8.620206236839294, 8.025652885437012, 8.476276526848475, 9.42420653785978, 9.64183097332716]","[90.12891054153442, 89.94335532188416, 89.86526727676392, 88.9801561832428, 65.38546681404114, 26.566416025161743, 35.28250455856323, 55.9278130531311]","[90.45244455337524, 90.42820930480957, 90.20326137542725, 89.23423290252686, 66.13185405731201, 26.352033019065857, 34.63371694087982, 56.54143691062927]",18.96925926208496,528.1328125,2.0
1,gaussian,toys,diffMF,4.790381735989025,89.93123769760132,90.56153893470764,90.931236743927,0 days 00:00:00.679386,"[12.47705864906311, 11.232119679450989, 10.146281580130259, 9.198957622051239, 8.466433930397034, 7.856267680724462, 7.296436126743044, 6.8440207205712795, 6.427205055952072, 6.0158551901578905, 5.6492304314266555, 5.329159679512183, 5.04205045562524, 4.790381735989025, 4.569795643289884, 4.370112378150225, 4.1890134504612755, 4.031721767452028, 3.8897645889144195, 3.7574943490326405, 3.6390181999830973]","[89.56457376480103, 89.79557156562805, 89.49860334396362, 89.35011625289917, 85.88921427726746, 87.07649111747742, 89.71002697944641, 90.00396728515625, 89.77972865104675, 89.82517719268799, 89.91002440452576, 89.8706316947937, 89.91305232048035, 89.93123769760132, 89.91305232048035, 89.94941711425781, 89.93427157402039, 89.95245099067688, 90.00699520111084, 90.03496766090393, 90.00163674354553]","[89.72890377044678, 90.03729820251465, 90.04336595535278, 89.65244889259338, 85.85255146026611, 87.90262937545776, 90.12681245803833, 90.27063250541687, 90.34639000892639, 90.41305184364319, 90.49184918403625, 90.48881530761719, 90.54336547851562, 90.56153893470764, 90.52821397781372, 90.54639339447021, 90.53357243537903, 90.54872393608093, 90.54639339447021, 90.55175185203552, 90.54872393608093]",43.76379871368408,526.5,3.0
2,gaussian,toys,diffMF,6.528463292866945,90.11071920394896,90.57973027229308,90.95920920372008,0 days 00:00:00.711370,"[12.062517642974854, 10.87882149219513, 9.832476794719696, 8.904732406139374, 8.162732017040252, 7.530553907155991, 6.974174222775868, 6.528463292866945, 6.093879371881485, 5.697222647070885, 5.349667140028694, 5.045467134565115, 4.778125490133579, 4.5390948961888045, 4.330916138490041]","[89.9039626121521, 89.89859819412231, 89.92284536361694, 89.56153988838196, 86.6975724697113, 88.80037069320679, 90.03496766090393, 90.11071920394897, 90.0531530380249, 90.05920886993408, 90.07435441017151, 90.03497362136841, 90.0531530380249, 90.01981616020203, 90.05618095397949]","[90.45174717903137, 90.34265279769897, 90.26084542274475, 89.87296223640442, 86.95608377456665, 89.48218822479248, 90.54872393608093, 90.57973027229309, 90.37599563598633, 90.54569005966187, 90.56386947631836, 90.4941737651825, 90.4941737651825, 90.4578149318695, 90.475994348526]",32.718836069107056,526.40625,3.0
3,gaussian,toys,diffMF,4.607292701418583,90.04405736923218,90.5547857284546,91.0251796245575,0 days 00:00:00.647563,"[12.64699411392212, 11.279817342758179, 10.12027088801066, 9.128300413489342, 8.281123912334442, 7.5540268669525785, 6.94792098232678, 6.4062653332948685, 5.936743380294906, 5.529942381381988, 5.1756594479084015, 4.869600743055344, 4.607292701418583, 4.377569154969284, 4.175649420420329, 4.000191433355212, 3.8415828592637005, 3.70176599919796, 3.576049574111637, 3.460954587906599]","[89.02750611305237, 89.69720602035522, 89.72820043563843, 89.6244764328003, 89.48578238487244, 90.00466465950012, 90.04708528518677, 90.04336595535278, 90.08951783180237, 90.09254574775696, 90.03798961639404, 90.00466465950012, 90.04405736923218, 89.95618224143982, 90.04405736923218, 90.04102945327759, 90.05920886993408, 90.1834487915039, 90.16223549842834, 90.16223549842834]","[89.54914808273315, 90.10396599769592, 90.1177167892456, 90.03357291221619, 89.93822932243347, 90.37296772003174, 90.37902355194092, 90.38811326026917, 90.40023684501648, 90.43962955474854, 90.46993255615234, 90.50630331039429, 90.55478572845459, 90.53962826728821, 90.55477976799011, 90.46689867973328, 90.42750597000122, 90.38811326026917, 90.39114117622375, 90.37296772003174]",42.52232646942139,529.7109375,3.0
4,gaussian,toys,diffMF,5.455799001913804,90.14406204223631,90.51538705825806,90.97296595573424,0 days 00:00:00.645376,"[12.810598015785217, 11.560696303844452, 10.480284690856934, 9.525710567831993, 8.739293885231017, 8.129075090090433, 7.603431165218353, 7.142693467438221, 6.798708021640778, 6.449551373720169, 6.094046847386793, 5.760792093972365, 5.455799001913804, 5.1836127287575176, 4.943800975879033, 4.7274791076779366, 4.533642267479616, 4.3573322958416405, 4.198281353241519, 4.05483967512846]","[89.60163593292236, 89.88951444625854, 89.96527194976807, 89.75082039833069, 87.16384172439575, 83.15287232398987, 88.11342120170593, 90.05314707756042, 89.99557495117188, 90.12587666511536, 90.05921483039856, 90.038001537323, 90.14406204223633, 90.18648266792297, 90.09557366371155, 90.21375775337219, 90.20163416862488, 90.19860625267029, 90.1804268360138, 90.19860029220581]","[89.82517719268799, 90.33427238464355, 90.19486904144287, 90.29418230056763, 87.4955415725708, 83.76404047012329, 89.02924060821533, 90.36084413528442, 90.42214751243591, 90.49720764160156, 90.44569730758667, 90.4941737651825, 90.51538705825806, 90.42447805404663, 90.51538705825806, 90.4608428478241, 90.47902226448059, 90.4608428478241, 90.47902226448059, 90.49720764160156]",40.25762319564819,528.13671875,3.0
5,gaussian,toys,diffMF,5.358665831387043,90.01981616020203,90.53357243537904,90.98508954048155,0 days 00:00:00.698933,"[11.831899642944336, 10.583355247974396, 9.511642336845398, 8.616445377469063, 7.8697067379951475, 7.210762456059456, 6.663273985896792, 6.177675556391478, 5.741316517194112, 5.358665831387043, 5.026541666551069, 4.735693282137315, 4.481456836828818, 4.261128189308303, 4.067428906758626, 3.897776254452765, 3.7451262719490948]","[90.06527662277222, 89.9524450302124, 89.82353806495667, 89.24942016601562, 88.52583765983582, 89.94103074073792, 90.08951187133789, 90.11375308036804, 90.01981616020203, 90.01981616020203, 90.08042216300964, 90.16830325126648, 90.1804268360138, 90.12587070465088, 90.14405608177185, 90.10769724845886, 90.14406204223633]","[90.194171667099, 90.29347896575928, 90.23357629776001, 89.70396518707275, 89.27319645881653, 90.37063121795654, 90.48509001731873, 90.46992659568787, 90.53356647491455, 90.53357243537903, 90.53053855895996, 90.4608428478241, 90.4608428478241, 90.4608428478241, 90.47366380691528, 90.42447805404663, 90.40629863739014]",37.5347044467926,528.92578125,3.0
