seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,time,memory_used_MB,train_loss,train_jaccard,val_jaccard
1,gaussian,toys,implicit,13.86133850711878,89.55314685314686,90.26993006993008,90.86689976689976,0.8252823352813721,36.0938663482666,2810.39453125,"[13.86155491844457, 13.86133749081699, 13.86133850711878, 13.8613369204828, 13.861335441052205, 13.861323686146648, 13.861329424854894, 13.861323813126933, 13.861314518516334, 13.861318987557636]","[88.73356643356644, 89.50163170163171, 89.55314685314686, 89.65011655011655, 89.5857808857809, 89.45617715617715, 89.42284382284382, 89.4955710955711, 89.44335664335665, 89.37972027972029]","[88.91605061605063, 90.181351981352, 90.26993006993007, 90.1972027972028, 90.16386946386946, 89.9827505827506, 90.04638694638695, 90.02144522144523, 89.97668997668997, 89.9130536130536]"
2,gaussian,toys,implicit,13.861334991058635,89.69020979020979,90.34568764568763,91.0100233100233,0.8290002346038818,37.04772758483887,2822.9609375,"[13.861399476484468, 13.861341801859151, 13.861334991058637, 13.8613275709847, 13.861337006735338, 13.861329517490672, 13.861324692868019, 13.861325594500691, 13.861323693999264, 13.861317799562876]","[89.31375291375292, 89.53193473193473, 89.69020979020979, 89.53799533799535, 89.57738927738929, 89.6986013986014, 89.65384615384616, 89.43193473193473, 89.26456876456876, 89.35314685314685]","[89.58741258741259, 90.11538461538463, 90.34568764568763, 90.11911421911422, 90.13286713286713, 90.24568764568765, 90.1972027972028, 90.04498834498835, 89.86620046620048, 90.03659673659674]"
3,gaussian,toys,implicit,13.861334927255951,89.58111888111887,90.25174825174824,90.84638694638696,0.8679015636444092,37.39336156845093,2818.65234375,"[13.861498801857616, 13.861337680866333, 13.861334927255953, 13.861328831862926, 13.861330563324294, 13.861326004618919, 13.861330911355399, 13.86132598297793, 13.86132497152599, 13.861319990165152]","[88.63496503496503, 89.53799533799535, 89.58111888111887, 89.43799533799533, 89.43263403263404, 89.45314685314686, 89.40839160839161, 89.32890442890442, 89.29020979020977, 89.17202797202798]","[88.93682983682984, 90.18205128205129, 90.25174825174825, 89.98811188811189, 90.04871794871795, 89.90932400932402, 90.13962703962704, 89.98811188811189, 89.94195804195805, 89.83892773892774]"
4,gaussian,toys,implicit,13.86132688588727,89.34778554778555,90.11002331002334,90.65011655011656,0.8058187961578369,38.71976137161255,2824.09375,"[13.861377147914155, 13.861338462186891, 13.861337700450191, 13.861333865654379, 13.86132688588727, 13.861330180319545, 13.861327798272816, 13.86132118088988, 13.861318246785412, 13.861313505982707, 13.861303230703394, 13.86127719982014]","[89.23496503496504, 89.56829836829837, 89.34475524475525, 89.2902097902098, 89.34778554778555, 89.36829836829837, 89.46223776223778, 89.52657342657342, 89.28344988344988, 89.36153846153847, 89.3925407925408, 89.10396270396271]","[89.47668997668998, 89.94032634032634, 89.90699300699302, 90.07668997668999, 90.11002331002334, 89.8918414918415, 89.96153846153847, 90.05547785547786, 89.76456876456876, 89.92377622377623, 89.82820512820513, 89.33123543123543]"
5,gaussian,toys,implicit,13.861336641240571,89.66293706293706,90.35780885780886,90.76759906759906,0.7909379005432129,36.19350004196167,2807.3359375,"[13.861377983973012, 13.861333990917908, 13.861336641240571, 13.861337092869945, 13.861340041701936, 13.861330518313494, 13.861323755437525, 13.861321398109745, 13.861323754886929, 13.861337928844325]","[89.30839160839163, 89.57435897435899, 89.66293706293706, 89.65990675990676, 89.59020979020978, 89.47505827505829, 89.52354312354312, 89.42051282051281, 89.45384615384616, 89.5053613053613]","[90.00629370629372, 90.21235431235432, 90.35780885780886, 90.34195804195805, 90.34498834498835, 90.23659673659674, 90.27296037296037, 90.22377622377623, 90.25780885780885, 90.32750582750583]"
