seed,data_name,amazon_cat,mode,best_train_loss,best_train_jaccard,best_val_jaccard,best_test_jaccard,epoch_time,time,memory_used_MB,train_loss,train_jaccard,val_jaccard
1,amazon,toys,implicit,5.595642675363162,69.39110562230863,68.0366886624709,67.9218987592774,0.4776544570922851,59.27502226829529,2773.66796875,"[5.5987822198186326, 5.59698543428889, 5.596522621906934, 5.596236694525754, 5.596155874414765, 5.595940951629273, 5.595896469662671, 5.5959240692400884, 5.595766435942454, 5.595853493553262, 5.595852899532265, 5.5958134268348925, 5.595804645474388, 5.595940848048444, 5.595803114848567, 5.595695924283282, 5.595729763888848, 5.59562971928359, 5.5957185559580775, 5.595676344383601, 5.595642675363162, 5.595692610597848, 5.595677155739278, 5.595713223387374, 5.595692067567021, 5.595629160931927, 5.59559788420238, 5.595573879796713]","[45.07403032778972, 57.67593337584492, 58.75932581759649, 61.718128655702856, 63.0386286792104, 62.60213262092961, 64.47949850205488, 64.48488396299098, 65.56539777404438, 65.52461218814602, 66.78079508906576, 65.91579577481832, 66.25991246291998, 66.19030057939833, 66.1111750961375, 66.09641055129777, 67.2590553417621, 67.57899507899508, 65.40039325753611, 66.66024799483446, 69.39110562230863, 67.42529191777311, 68.34714470992665, 69.12281744988512, 66.55175199348132, 68.85107478152591, 68.70815657469792, 68.90887551601837]","[45.83638166867203, 55.632167859952595, 57.62757962382493, 59.82245643384567, 60.99842307602007, 60.7569516424335, 62.19197399735573, 62.57369351549577, 64.0407187027963, 63.89304132107636, 64.79021708370895, 64.68324124769683, 64.78871566481078, 64.55247123895434, 64.67993069369791, 64.7651291831517, 66.17779487929675, 66.30393463972203, 64.33612938306305, 65.01548236216571, 68.0366886624709, 65.99591793271394, 66.88557166654789, 67.23101158332697, 65.49925356245757, 67.72069746412674, 66.64390122462713, 66.02533018365308]"
2,amazon,toys,implicit,5.59580609457365,67.29973237640432,66.7973133805424,66.2212969069765,0.4769237041473388,42.364123582839966,2802.7421875,"[5.598967311863194, 5.5970590025807905, 5.596445264558224, 5.596174650341033, 5.59595116185214, 5.595805744397625, 5.59580609457365, 5.595770073634036, 5.595645783900672, 5.59573165629322, 5.595662152542023, 5.595650612489777, 5.595745019393869, 5.5957754116789635]","[48.60703443852493, 56.44004242190884, 60.22872456143132, 62.74695258220247, 63.65481386600359, 66.02904851467433, 67.29973237640432, 65.45297747365416, 66.3393919502942, 67.8132613001034, 67.91502183419477, 66.2225614901422, 68.62561930673385, 65.47611432009928]","[49.98814007574959, 57.20951694668842, 60.08846736631468, 62.06470208973339, 63.18850736247482, 64.86974852431673, 66.7973133805424, 65.43919229150768, 64.82088138533696, 66.62411500333903, 66.41979283406067, 64.29094546115823, 66.43452014540875, 65.1396455025992]"
3,amazon,toys,implicit,5.595556368988811,70.18939423223158,66.92006088752021,68.3509781750073,0.450549840927124,65.91338729858398,2783.95703125,"[5.59949455114852, 5.597266318681759, 5.596636205856907, 5.5962596931159805, 5.596072154078875, 5.595977066832618, 5.595824120744651, 5.595822827040539, 5.595712895375685, 5.595823574842268, 5.595771979941358, 5.595781851875258, 5.5958508258056705, 5.595778916160785, 5.595705193046108, 5.595651083233154, 5.595647609888601, 5.595605668697594, 5.59558577393358, 5.595611589104255, 5.595627486604031, 5.595630571103459, 5.595624988241135, 5.5956820931653475, 5.595612095604997, 5.595595124928608, 5.595530409847838, 5.595556368988811, 5.595542456091554, 5.5955252915119384, 5.595588515099309, 5.595568120989672, 5.5955756805804775, 5.595566919642965, 5.595552295143383]","[35.69631872705733, 53.23679555656556, 59.0339961486578, 60.13184491070381, 62.191251035235986, 63.41516838199721, 64.58168879369907, 62.75546815462781, 65.32834264037271, 66.01654089436045, 67.23661108650283, 65.16376791586875, 67.1025351006554, 65.08936372160609, 67.11725235221475, 68.5835495060861, 67.94366516319424, 67.21353451616609, 67.58185626755076, 66.94813917060709, 66.94443012554467, 68.1695830770821, 68.51827712878365, 68.47173497697835, 66.70124773656629, 66.52196447457627, 69.1091434324517, 70.18939423223158, 70.00606113536466, 69.82238023242236, 68.09859759550162, 68.3872945571309, 68.84416711926663, 68.41246154364477, 69.18645925224872]","[37.396826508215746, 51.81025204804929, 57.42366311202356, 58.331624570673384, 60.42895360792733, 61.70527289425912, 62.496217452412694, 61.0147931612262, 63.69491584760671, 64.71664547384198, 64.61342231680155, 62.77211871704988, 64.48662240276758, 63.95636625924486, 64.34729850875033, 65.96801265762467, 65.8821174653465, 64.94206322116209, 64.29741583684012, 64.11605082443631, 64.90371261334965, 65.76322717749501, 66.40284552049258, 65.21848892311972, 64.08986646783893, 64.69071604240565, 65.68682464802615, 66.92006088752021, 66.42034088842598, 65.5351261171036, 65.28996590949032, 65.65827094613077, 66.10857158416609, 65.67987915297051, 65.53766494942965]"
4,amazon,toys,implicit,5.595820589884642,68.59685902569814,66.77596704505339,66.86516557875781,0.466397762298584,48.70818543434143,2807.6015625,"[5.598755845075364, 5.5969191620236, 5.596290033382176, 5.59616371633474, 5.595993381958323, 5.595860014487275, 5.595835072215242, 5.595772970575876, 5.595697110550788, 5.595788188501636, 5.595768199618589, 5.595678940875276, 5.595820589884642, 5.595768635929927, 5.595689144785621, 5.595614862603075, 5.595675895188923, 5.595621963432574, 5.59562436820785, 5.595660934230602]","[46.77522827549596, 54.618535509734095, 60.89716773135847, 62.006546371871444, 64.68455271529133, 65.1662515085779, 66.86428291342278, 65.2606259450576, 64.28587703023793, 67.40037608260798, 66.09287387133706, 66.25903052743179, 68.59685902569814, 66.76242655897676, 66.8339105977319, 67.36884280559646, 67.77512784682412, 66.90303117934695, 65.93990312183821, 66.59524964036241]","[47.091620740299234, 54.30548800386097, 60.00227557173739, 61.44270414608337, 62.69274043992442, 63.44568517284413, 65.80335114753137, 64.0996779607543, 63.841724955617316, 66.35071506160368, 65.37314930931953, 65.17936242592062, 66.77596704505339, 66.5075888511433, 64.98382510272373, 65.6860105545963, 66.59821960823213, 65.8868929707478, 64.25174116663479, 65.01850048157934]"
5,amazon,toys,implicit,5.595759481128363,68.31618256430286,66.13389183476792,66.1551110701596,0.5050840377807617,44.82615399360657,2798.46875,"[5.5983108549307445, 5.5966198351848755, 5.596192365878415, 5.596002348040989, 5.595959526851242, 5.595848269880553, 5.595790487533244, 5.595800535828555, 5.5956517379738795, 5.595759481128363, 5.595749349584775, 5.595706453700882, 5.595732251456655, 5.595704779706006, 5.595687003438437, 5.595632703963381, 5.595752015015383]","[52.90760130985694, 59.214024259358176, 62.61236153153447, 65.8280034501839, 65.88279862715952, 66.37080237975859, 67.12668979586272, 65.79030866016713, 67.73357067678397, 68.31618256430286, 68.35300803345916, 67.20045126208561, 67.72588800784288, 67.3198376393865, 68.35642352708042, 69.141308079278, 67.93812246028313]","[51.62170398090297, 58.353236250607964, 61.69720558957105, 63.69893282909554, 64.01348547155806, 63.60756473397274, 65.34039663576584, 64.55351907166676, 64.8382267155734, 66.13389183476792, 66.0941617136861, 64.00900448459898, 65.07172149224715, 65.51949649571678, 65.5422001166682, 65.91222502987209, 64.78278917578041]"
1,amazon,furniture,implicit,4.337629921219639,24.823153899240857,25.74275362318841,21.05076058201057,0.21513032913208,35.91605234146118,2676.7109375,"[4.340283165040447, 4.339555588743614, 4.339366807404796, 4.339118701828004, 4.338867566160048, 4.338250149503726, 4.338178957028955, 4.338531346377878, 4.338055126525086, 4.3381136336214015, 4.3382800038608025, 4.3380917020341085, 4.337871743144393, 4.337762444093308, 4.337843163287837, 4.337751845337729, 4.337853123444423, 4.33764539480861, 4.337670609071112, 4.3374291430864655, 4.337629921219639, 4.337549171638313, 4.337602663505517, 4.3375339451184844, 4.337462984497731, 4.337390090532753, 4.337505798927701, 4.337491486293869]","[6.782263630089717, 11.034334023464458, 11.831435472739821, 15.138026224982745, 20.94030365769496, 22.462042788129743, 21.49413388543823, 20.91614906832298, 21.308661145617666, 21.459627329192546, 21.459627329192546, 21.785714285714285, 22.08592132505176, 22.075569358178054, 21.594202898550726, 21.159420289855074, 21.749482401656316, 24.181331953071084, 24.030365769496203, 24.290027605244997, 24.823153899240857, 23.69996549344375, 24.243443754313315, 26.0188060731539, 25.44340924775707, 24.791235334713594, 24.07263630089717, 25.25793650793651]","[5.625431331953071, 8.229813664596273, 9.679089026915113, 13.816425120772946, 17.556935817805382, 19.427661710270403, 17.926155969634227, 17.708764665286402, 17.491373360938578, 17.797226927661708, 17.59018759018759, 18.133665851057156, 19.94008407051885, 23.75517598343685, 22.072981366459626, 20.877329192546583, 21.21894409937888, 24.101966873706, 24.28830227743271, 24.39699792960662, 25.742753623188406, 24.75414078674948, 25.188923395445133, 24.30383022774327, 25.6547619047619, 25.00258799171842, 23.361801242236023, 24.231366459627328]"
2,amazon,furniture,implicit,4.337074638097831,30.33902691511387,29.1511387163561,25.78290343915344,0.238924503326416,47.758867025375366,2676.64453125,"[4.339676527192477, 4.339273283619124, 4.338728064105109, 4.338346866046527, 4.338395399897613, 4.338084404657022, 4.337780931322906, 4.338303911396192, 4.337813420065079, 4.337783247484705, 4.337914080619241, 4.3376938871844555, 4.337546108105791, 4.337487127117808, 4.337496132090946, 4.337532886124547, 4.337669445274247, 4.337451223423864, 4.337449840266548, 4.337150402864498, 4.337552211063505, 4.337313458387122, 4.337298795877047, 4.33732793217691, 4.3372242982535365, 4.337169479948248, 4.337326904284029, 4.337199314686665, 4.337115160450262, 4.337059759314114, 4.337028940613178, 4.337136129711261, 4.337280800690638, 4.3369563916263525, 4.337074638097831, 4.337073766543958, 4.336859941430141, 4.336981209331928, 4.336869830042694, 4.337024105949963, 4.336854942166893, 4.336850673531202]","[9.310731538992409, 10.822118702553485, 16.852139406487233, 23.34109730848861, 21.17753623188406, 21.684782608695652, 22.631987577639748, 22.42494824016563, 23.923395445134574, 24.57556935817805, 23.16252587991718, 21.858178053830226, 23.356625258799173, 23.68271221532091, 23.465320910973084, 25.302795031055904, 26.021394064872325, 26.021394064872325, 24.934437543133196, 25.985162180814353, 26.63733609385783, 28.0503795721187, 29.427191166321602, 29.680814354727396, 30.767770876466525, 28.16942719116632, 29.354727398205657, 31.008454106280194, 29.78951000690131, 28.88975155279503, 29.717046238785368, 31.601104209799864, 31.52864044168392, 30.332988267770872, 30.33902691511387, 32.615596963423044, 32.688060731539, 32.688060731539, 32.361973775017255, 33.3040027605245, 34.20979986197378, 33.557625948930294]","[9.823153899240856, 13.94582470669427, 20.23550724637681, 21.400103519668736, 21.081780538302276, 20.289855072463766, 20.998964803312628, 21.711133069828723, 20.986495388669297, 21.57655750047054, 21.42127799736495, 21.410926030491247, 22.301195181629964, 22.11227178618483, 22.230848861283643, 22.676453980801803, 22.919725202333897, 22.637634105025406, 23.292396009787314, 25.01599849425936, 26.547619047619047, 25.357142857142858, 24.4332298136646, 24.21583850931677, 25.42701863354037, 24.518633540372665, 23.60248447204969, 26.60973084886128, 27.14285714285714, 25.450310559006212, 25.43737060041408, 26.09989648033126, 27.23861283643892, 28.711180124223603, 29.1511387163561, 27.65786749482401, 27.057453416149066, 28.035714285714285, 27.16614906832298, 27.331780538302272, 24.7851966873706, 28.147468473555428]"
3,amazon,furniture,implicit,4.338160437474319,22.721704623878534,23.05171277997365,16.828703703703702,0.2876906394958496,25.89166688919068,2686.3515625,"[4.3395615984109455, 4.338851720453401, 4.338376587819466, 4.338214699038788, 4.338160437474319, 4.337981870786131, 4.33777239657217, 4.338050232518652, 4.337673189536178, 4.337757934492729, 4.3377595113838465, 4.337655762288879]","[9.847308488612835, 13.615424430641822, 14.619565217391305, 19.869737750172533, 22.721704623878534, 25.419254658385093, 23.850931677018632, 25.372670807453414, 26.024844720496894, 25.263975155279503, 25.55383022774327, 25.879917184265008]","[12.094155844155845, 18.975625823451907, 17.635046113306984, 20.37314135140222, 23.051712779973652, 21.77842085450781, 18.88975155279503, 21.501505740636173, 21.165066817240728, 22.735977790325617, 22.611283643892342, 22.57505175983437]"
4,amazon,furniture,implicit,4.337437081416571,25.788474810213945,25.5957086391869,21.75512566137566,0.2314095497131347,35.78507399559021,2675.0859375,"[4.339575612900941, 4.339088700084949, 4.338600608741259, 4.338293981643281, 4.338074757005095, 4.337806224069953, 4.337738428718975, 4.337969890764349, 4.337676781281312, 4.337791584891288, 4.337839390932398, 4.3376584041305435, 4.337511396216932, 4.337377629926567, 4.3375255934726065, 4.337553276485675, 4.337613631734254, 4.3373873345575, 4.337543831398168, 4.3372585807797375, 4.3374731579732275, 4.337437081416571, 4.3373184759207986, 4.337394206972843, 4.337254936216546, 4.337221384499641, 4.3373815504464455, 4.337319821271601, 4.337279514500871]","[16.32505175983437, 18.86128364389234, 18.835403726708073, 22.141994478951, 22.75793650793651, 21.828847481021395, 21.52605244996549, 21.199965493443752, 21.64510006901311, 22.42581090407177, 24.1183574879227, 24.90165631469979, 25.106107660455486, 23.139233954451345, 23.99844720496894, 24.10886818495514, 25.771221532091094, 24.486714975845405, 25.475327812284338, 25.850586611456176, 24.28830227743271, 25.788474810213945, 26.012767425810907, 27.31711525189786, 27.323153899240857, 26.288819875776394, 25.920462387853693, 25.588336783988957, 25.904071773636986]","[16.127972269276615, 17.58759959846916, 17.05055210489993, 19.81844845975281, 22.15579710144927, 21.60455486542443, 20.357613401091662, 19.896950875211743, 19.89389233954451, 20.05175983436853, 19.498400150574064, 22.368482966309053, 21.30693581780538, 22.404244306418217, 23.63612836438923, 23.48084886128364, 22.510351966873703, 20.68840579710145, 22.264963297571995, 24.092085450781102, 23.975155279503102, 25.5957086391869, 24.52945605119518, 25.135046113306984, 25.25668172407303, 22.950781102955013, 23.00254093732354, 24.156785243741762, 24.689911537737622]"
5,amazon,furniture,implicit,4.337120337216196,29.516045548654244,29.39958592132505,24.43369708994709,0.2495679855346679,47.23231029510498,2679.34375,"[4.339790566870501, 4.338798170058927, 4.337979362026457, 4.337885896692897, 4.337701414345676, 4.337613172768632, 4.337512942873568, 4.337726300624032, 4.337524371598974, 4.337523344951001, 4.337603489086158, 4.337501476908271, 4.337359537717004, 4.337332851963394, 4.33744693184819, 4.337490145487179, 4.3375053014349545, 4.337315651060692, 4.3373426378916085, 4.337126453719177, 4.337354885262803, 4.337275817097629, 4.337226469305561, 4.337246305102338, 4.337149088516222, 4.33713348313179, 4.337283471785083, 4.337187732826268, 4.337160547856754, 4.337054505982738, 4.337120337216196, 4.337113180725371, 4.337180926848498, 4.3369162404942365, 4.337077521282687, 4.337100650616815, 4.337029804131994, 4.337186995152361]","[12.136818495514149, 21.608868184955142, 22.46808143547274, 23.410110420979983, 24.33488612836439, 21.498447204968944, 22.585403726708076, 24.723084886128365, 24.53933747412008, 24.865424430641824, 25.276915113871638, 24.396997929606627, 24.39699792960662, 24.143374741200827, 25.036231884057965, 25.5175983436853, 26.27846790890269, 25.952380952380953, 25.84368530020704, 26.091269841269842, 27.546583850931675, 28.41614906832298, 30.15527950310559, 28.913043478260867, 30.0, 29.34782608695652, 29.140786749482398, 28.923395445134574, 29.57556935817805, 29.710144927536227, 29.516045548654244, 29.298654244306416, 30.085403726708076, 29.891304347826086, 30.724637681159418, 31.389751552795033, 32.25931677018634, 33.369565217391305]","[11.275487797226926, 18.2941213375996, 19.841269841269842, 20.193707258924647, 22.088509316770182, 22.857142857142854, 23.183229813664592, 22.327075098814227, 19.852092352092352, 22.07815734989648, 22.3731884057971, 23.051242236024844, 23.28933747412008, 22.818322981366457, 24.246894409937887, 23.361801242236023, 23.06935817805383, 22.851966873706, 23.046066252587995, 23.78105590062112, 24.226190476190474, 25.483954451345753, 27.74327122153209, 29.06055900621118, 27.637163561076605, 25.72463768115942, 26.366459627329192, 27.779503105590063, 27.582815734989648, 27.018633540372672, 29.39958592132505, 28.50414078674948, 28.447204968944096, 26.73913043478261, 26.400103519668736, 26.193064182194615, 25.89717046238785, 27.010006901311247]"
